"full_name","num_of_brands","brand_diversity_status"
"A. Catherine Binkley","33","Medium Diversity"
"A. Joyce Jarvis","14","Low Diversity"
"Aaron Carabellos","6","Low Diversity"
"Aaron Conklin","6","Low Diversity"
"Aaron Cope","2","Low Diversity"
"Aaron Haddix","5","Low Diversity"
"Aaron Keane","17","Low Diversity"
"Aaron Lemay","15","Low Diversity"
"Aaron McDonnell","78","High Diversity"
"Aaron Quintan","33","Medium Diversity"
"Aaron Shehorn","6","Low Diversity"
"Aaron Story","42","Medium Diversity"
"Aaron Van Ness","2","Low Diversity"
"Aaron Whitteker","42","Medium Diversity"
"Aaron Young","15","Low Diversity"
"Abbie Carlbon","62","High Diversity"
"Abe Tramel","17","Low Diversity"
"Abel Hawkins","28","Medium Diversity"
"Abel Young","35","Medium Diversity"
"Abigail Foster","17","Low Diversity"
"Abraham Burns","32","Medium Diversity"
"Abraham Swearengin","10","Low Diversity"
"Achari Harp","5","Low Diversity"
"Adam Bloomfeild","12","Low Diversity"
"Adam Reynolds","47","Medium Diversity"
"Adam Suggett","25","Medium Diversity"
"Adam Tschann","22","Medium Diversity"
"Adelaide Spence","16","Low Diversity"
"Adele Barbuscia","7","Low Diversity"
"Adele Snyder","49","Medium Diversity"
"Adeline Chun","19","Low Diversity"
"Adeline Verna","7","Low Diversity"
"Adoli Lewis","7","Low Diversity"
"Adria Trujillo","25","Medium Diversity"
"Adrian Binion","26","Medium Diversity"
"Adrian Torrez","47","Medium Diversity"
"Adriane Ahlin","16","Low Diversity"
"Adrienne Clement","47","Medium Diversity"
"Adrienne Duran","19","Low Diversity"
"Adrienne Novreske","5","Low Diversity"
"Affie Harmon","13","Low Diversity"
"Agnes Christopherson","18","Low Diversity"
"Agnes Concepcion","10","Low Diversity"
"Agnes Pelcher","5","Low Diversity"
"Agnes Pfanz","55","High Diversity"
"Agnes Smith","22","Medium Diversity"
"Aguido Chard","26","Medium Diversity"
"Agustin Roush","21","Medium Diversity"
"Ahmadzai Sandoval","17","Low Diversity"
"Aida Stewart","10","Low Diversity"
